,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,1.0,10.169366875000001,1.7427587500000001,2.500923125,1.3678399999999997,0.088354375,0.6746825000000001,0.2113625,0.06551375,1.46246,2.88692,1.242195625,0.000652174,0.000652174,0.000652174
1,2.0,16.7211625,1.487066875,1.3800625000000002,1.2261875,0.6399762499999999,0.572215625,0.59181125,0.22116,1.45422125,1.7091699999999999,1.354194375,0.00131231,0.00131231,0.00131231
2,3.0,23.53281875,1.4499825,1.306444375,1.211924375,0.5911662500000001,0.5668975,0.560504375,0.20065,1.5288931250000002,1.495678125,1.4558843750000001,0.00196585,0.00196585,0.00196585
3,4.0,29.93971875,1.42629,1.2665856249999998,1.2063425,0.67468,0.697851875,0.716909375,0.29256812499999996,1.35677625,1.27658375,1.2548825,0.0019703,0.0019703,0.0019703
4,5.0,36.441525,1.4116775000000001,1.234883125,1.19967125,0.7014975,0.729101875,0.7478737500000001,0.32435250000000004,1.307541875,1.17428375,1.2440099999999998,0.0019604,0.0019604,0.0019604
5,6.0,42.86925625,1.39012875,1.21339625,1.19711625,0.6769468750000001,0.7370231249999999,0.7360681250000001,0.32869125,1.2777756249999999,1.2035912500000001,1.203483125,0.0019505,0.0019505,0.0019505
6,7.0,49.374062499999994,1.387580625,1.191869375,1.1897393749999998,0.6809931250000001,0.7191875000000001,0.7310075,0.327165625,1.269120625,1.283236875,1.2341493749999999,0.0019406,0.0019406,0.0019406
7,8.0,55.86426875,1.3491187500000001,1.157435,1.1789118749999998,0.721105,0.72924875,0.771349375,0.318523125,1.3430706250000002,1.1891487500000002,1.23877875,0.0019307,0.0019307,0.0019307
8,9.0,62.381718750000005,1.3460943749999998,1.14105,1.17727625,0.68839125,0.742016875,0.75270125,0.327669375,1.334075,1.20541375,1.241471875,0.0019208,0.0019208,0.0019208
9,10.0,68.81160625000001,1.347326875,1.13462125,1.1743175,0.716375625,0.740626875,0.775061875,0.37367562499999996,1.2386118750000001,1.123761875,1.21275125,0.0019109,0.0019109,0.0019109
10,11.0,75.2933875,1.34065,1.1370974999999999,1.166909375,0.7263443749999999,0.755764375,0.79330625,0.38255812499999997,1.218968125,1.15737625,1.1820006250000001,0.001901,0.001901,0.001901
11,12.0,81.84131875,1.3278418749999998,1.10749375,1.162175,0.717121875,0.74458125,0.778868125,0.34080374999999996,1.3279043750000001,1.12874,1.235256875,0.0018911,0.0018911,0.0018911
12,13.0,88.24405,1.321135,1.1100418749999998,1.173551875,0.71547,0.75635875,0.7837212499999999,0.36288750000000003,1.265715625,1.094296875,1.199234375,0.0018812,0.0018812,0.0018812
13,14.0,94.63618124999999,1.3092518750000002,1.0774487499999998,1.159075,0.73710125,0.75852125,0.8025956249999999,0.413456875,1.185383125,1.055475625,1.18039125,0.0018713,0.0018713,0.0018713
14,15.0,101.16086874999999,1.312575,1.081169375,1.16193875,0.7347025,0.756816875,0.8026537499999999,0.378989375,1.2520912499999999,1.06293125,1.19496,0.0018614,0.0018614,0.0018614
15,16.0,107.6375625,1.2999399999999999,1.068838125,1.155125,0.7269687499999999,0.71788625,0.7677087499999999,0.34953500000000004,1.290710625,1.083943125,1.22535375,0.0018515,0.0018515,0.0018515
16,17.0,114.10050000000001,1.30884,1.06502125,1.15650875,0.717953125,0.760793125,0.7956993750000001,0.3996925,1.2050587499999998,1.077468125,1.1739799999999998,0.0018416,0.0018416,0.0018416
17,18.0,120.529375,1.31106875,1.0634018749999998,1.166590625,0.716014375,0.73333125,0.768583125,0.370809375,1.25436125,1.0836025,1.2252687500000001,0.0018317,0.0018317,0.0018317
18,19.0,126.9225625,1.28634,1.055409375,1.1492581249999998,0.72651625,0.78165,0.8074775000000001,0.40521875,1.2078375000000001,1.038274375,1.178578125,0.0018218,0.0018218,0.0018218
19,20.0,133.36368749999997,1.28911125,1.055808125,1.143280625,0.7301150000000001,0.7603606249999999,0.7937025,0.352805625,1.317631875,1.0635531249999999,1.2317618750000001,0.0018119,0.0018119,0.0018119
20,21.0,139.86756250000002,1.2927187500000001,1.0717025000000002,1.144044375,0.741035,0.770334375,0.815215,0.417015625,1.17877875,1.0245043749999998,1.162056875,0.001802,0.001802,0.001802
21,22.0,146.323,1.2724643749999998,1.0423087500000001,1.139354375,0.731425,0.75655875,0.8031775000000001,0.38168625,1.259445,1.04438375,1.20237875,0.0017921,0.0017921,0.0017921
22,23.0,152.78674999999998,1.299576875,1.0384674999999999,1.14257375,0.6872318749999999,0.760920625,0.764730625,0.352225625,1.289399375,1.10607625,1.197886875,0.0017822,0.0017822,0.0017822
23,24.0,159.15218749999997,1.2882850000000001,1.042348125,1.145864375,0.7447325,0.752159375,0.8093775000000001,0.40105500000000005,1.2293975000000001,1.013329375,1.18881375,0.0017723,0.0017723,0.0017723
24,25.0,165.804875,1.2716949999999998,1.0281449999999999,1.1358237500000001,0.731118125,0.7678699999999999,0.80282375,0.41263937500000003,1.176375625,1.0421550000000002,1.1635475,0.0017624,0.0017624,0.0017624
25,26.0,172.2206875,1.27622875,1.02901375,1.1449681250000001,0.73671,0.7715037499999999,0.8122162500000001,0.397154375,1.231435625,1.024183125,1.180491875,0.0017525,0.0017525,0.0017525
26,27.0,178.639,1.273940625,1.027006875,1.14805625,0.753105625,0.7637206249999999,0.820025625,0.415041875,1.2149818749999999,1.001003125,1.1853025000000001,0.0017426,0.0017426,0.0017426
27,28.0,185.0694375,1.2535125,1.010279375,1.13651875,0.7237275000000001,0.758838125,0.78963125,0.38839,1.2100793749999998,1.075003125,1.17225125,0.0017327,0.0017327,0.0017327
28,29.0,191.521875,1.266388125,1.0302487500000002,1.137965,0.7241131249999999,0.753305,0.788833125,0.38222687499999997,1.2360925,1.05114625,1.2038375000000001,0.0017228,0.0017228,0.0017228
29,30.0,197.9801875,1.2613418749999998,1.018459375,1.131095,0.74952125,0.7696681249999999,0.820775625,0.415740625,1.2117106249999998,1.002075,1.1775012500000002,0.0017129,0.0017129,0.0017129
30,31.0,204.41143749999998,1.2424825,1.0086149999999998,1.11816125,0.7273506249999999,0.7321443750000001,0.788085625,0.39574875,1.194554375,1.04607875,1.1814225,0.001703,0.001703,0.001703
31,32.0,210.802125,1.2324956249999999,1.0054737500000002,1.126501875,0.7141437500000001,0.7516381249999999,0.792084375,0.37139875,1.3090337500000002,1.026316875,1.227346875,0.0016931,0.0016931,0.0016931
32,33.0,217.30237499999998,1.22388875,0.985654375,1.109868125,0.7221925,0.7487656250000001,0.781929375,0.361125625,1.2846893750000001,1.04847625,1.21719375,0.0016832,0.0016832,0.0016832
33,34.0,223.8235,1.2634599999999998,1.004211875,1.1269125,0.742160625,0.7591675,0.808485,0.415738125,1.1936387499999999,0.9957168750000001,1.1711624999999999,0.0016733,0.0016733,0.0016733
34,35.0,230.2693125,1.22930125,0.987354375,1.12076625,0.736003125,0.7505262500000001,0.7964862500000001,0.40583812500000005,1.206708125,0.9908662500000001,1.1829637499999999,0.0016634,0.0016634,0.0016634
35,36.0,236.71306249999998,1.25167125,0.995288125,1.12490625,0.7324912499999999,0.7623125,0.7976006250000001,0.375625,1.2780731250000001,1.0224381249999999,1.2075618750000001,0.0016535,0.0016535,0.0016535
36,37.0,243.12475,1.237238125,0.9971237500000001,1.126191875,0.7559456250000001,0.76276625,0.82473625,0.416999375,1.199895625,0.98980625,1.1842087499999998,0.0016436,0.0016436,0.0016436
37,38.0,249.47143749999998,1.240493125,1.0039125,1.1348574999999999,0.723295,0.7745612500000001,0.80459375,0.389386875,1.2409475,1.0207306250000001,1.18988125,0.0016337,0.0016337,0.0016337
38,39.0,255.8080625,1.22726125,0.97835,1.1267,0.7441606249999999,0.7690925,0.8130725000000001,0.4223225,1.18303125,0.9854912499999999,1.16852625,0.0016238,0.0016238,0.0016238
39,40.0,262.246625,1.21659,0.973219375,1.09962625,0.73991625,0.782410625,0.81431125,0.39973187499999996,1.238979375,0.995576875,1.182530625,0.0016139,0.0016139,0.0016139
40,41.0,268.70831250000003,1.2296175,0.9771156249999999,1.1123737500000002,0.7322793750000001,0.743795625,0.79204125,0.37990625,1.271071875,1.0065,1.20202,0.001604,0.001604,0.001604
41,42.0,275.23812499999997,1.229705625,0.98353875,1.1169825,0.734180625,0.762761875,0.8086125,0.419050625,1.174306875,1.0112999999999999,1.162079375,0.0015941,0.0015941,0.0015941
42,43.0,281.72837499999997,1.209880625,0.96477125,1.10489,0.73718,0.769291875,0.807383125,0.38851625,1.241619375,0.989881875,1.1834675,0.0015842,0.0015842,0.0015842
43,44.0,288.08962499999996,1.2027593749999999,0.9632375,1.113135625,0.7374350000000001,0.761316875,0.80402,0.40106125,1.206114375,1.008444375,1.18297,0.0015743,0.0015743,0.0015743
44,45.0,294.498375,1.2178387499999999,0.970361875,1.116091875,0.7406325,0.779635625,0.816898125,0.39668375,1.2488018749999998,0.9924375,1.1896443749999999,0.0015644,0.0015644,0.0015644
45,46.0,300.8794375,1.21177125,0.9684474999999999,1.109095,0.719618125,0.7586243749999999,0.7862906249999999,0.378545,1.2619525,1.039171875,1.1969575,0.0015545,0.0015545,0.0015545
46,47.0,307.21637499999997,1.22354125,0.983164375,1.117826875,0.7396281250000001,0.7713925,0.8135656250000001,0.410824375,1.20413875,1.00080875,1.1797499999999999,0.0015446,0.0015446,0.0015446
47,48.0,313.6630625,1.20439375,0.960831875,1.106956875,0.742931875,0.7847474999999999,0.8240725,0.42087375000000005,1.19184125,0.978195625,1.1673675000000001,0.0015347,0.0015347,0.0015347
48,49.0,320.0481875,1.1952981249999999,0.945488125,1.1026668750000002,0.734069375,0.77993375,0.8093725,0.40388999999999997,1.216376875,0.9869987499999999,1.18262125,0.0015248,0.0015248,0.0015248
49,50.0,326.50350000000003,1.203615625,0.9534981250000001,1.098465,0.7408012500000001,0.77745,0.8218875,0.40376375,1.2432,0.967646875,1.194066875,0.0015149,0.0015149,0.0015149
50,51.0,332.93262500000003,1.1785174999999999,0.9400075,1.0932568750000002,0.744421875,0.782099375,0.8238875000000001,0.423200625,1.1771449999999999,0.9699137499999999,1.16039125,0.001505,0.001505,0.001505
51,52.0,339.35925,1.2105787499999998,0.9572643750000001,1.115689375,0.744648125,0.791534375,0.826671875,0.43803250000000005,1.161838125,0.98035,1.151804375,0.0014951,0.0014951,0.0014951
52,53.0,345.812625,1.2045306249999999,0.955086875,1.10598625,0.730171875,0.7550243750000001,0.79854625,0.41311624999999996,1.191085625,0.9968537500000001,1.184223125,0.0014852,0.0014852,0.0014852
53,54.0,352.2363125,1.1944418749999999,0.938244375,1.1009962500000001,0.708183125,0.7717625,0.7926018749999999,0.40658812499999997,1.20824,1.006271875,1.175498125,0.0014753,0.0014753,0.0014753
54,55.0,358.7910625,1.1969168749999999,0.949635,1.097315625,0.73091,0.7506225,0.80161625,0.406525,1.20346,0.99317375,1.17330375,0.0014654,0.0014654,0.0014654
55,56.0,365.1338125,1.1929949999999998,0.94877,1.098068125,0.75730125,0.7641512500000001,0.82466,0.418566875,1.1992375,0.959710625,1.169488125,0.0014555,0.0014555,0.0014555
56,57.0,371.63125,1.208759375,0.949681875,1.11205125,0.740078125,0.7735093749999999,0.8174056249999999,0.42760062499999996,1.169738125,0.96210375,1.16193375,0.0014456,0.0014456,0.0014456
57,58.0,378.0855,1.19189625,0.940925625,1.1016362499999999,0.7469300000000001,0.76455125,0.81176375,0.41060375,1.216329375,0.98500375,1.18259375,0.0014357,0.0014357,0.0014357
58,59.0,384.524625,1.1926887499999999,0.948646875,1.098960625,0.733719375,0.77340375,0.808415,0.38434,1.264933125,0.99651,1.191986875,0.0014258,0.0014258,0.0014258
59,60.0,391.0591875,1.166115625,0.92008625,1.0891631249999998,0.747681875,0.778885625,0.819986875,0.3924175,1.259425625,0.980623125,1.19857875,0.0014159,0.0014159,0.0014159
60,61.0,397.6095625,1.2023543749999999,0.9500249999999999,1.098791875,0.7329600000000001,0.780003125,0.811709375,0.3881025,1.25710375,0.99252625,1.19251125,0.001406,0.001406,0.001406
61,62.0,404.0464375,1.1819012500000001,0.93975125,1.09767625,0.735648125,0.793596875,0.820286875,0.416200625,1.208191875,1.00626875,1.17184,0.0013961,0.0013961,0.0013961
62,63.0,410.531375,1.173753125,0.924705625,1.0912325,0.7484,0.795949375,0.83033,0.421235,1.191601875,0.9591725,1.1708,0.0013862,0.0013862,0.0013862
63,64.0,416.9479375,1.1753356250000002,0.925394375,1.08620625,0.739448125,0.78172375,0.817074375,0.413555,1.22591125,0.96833375,1.17578875,0.0013763,0.0013763,0.0013763
64,65.0,423.512,1.186215625,0.930191875,1.09762625,0.7714775,0.7709362500000001,0.83096125,0.431910625,1.1648675000000002,0.94894625,1.169920625,0.0013664,0.0013664,0.0013664
