epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1771.71,1.11212,1.08817,0.00991,0.74835,0.74558,0.78673,0.42074,1.23845,1.24547,0.01884,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1828.72,1.10762,1.08103,0.00994,0.75074,0.73934,0.78021,0.41265,1.23642,1.26955,0.01887,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1884.47,1.10666,1.07153,0.00979,0.75518,0.73813,0.78571,0.42147,1.21329,1.29018,0.01821,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1941.2,1.10193,1.0546,0.00973,0.75908,0.73447,0.78315,0.42495,1.23823,1.22519,0.0191,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1998.13,1.10634,1.05598,0.0098,0.73556,0.73353,0.76772,0.38289,1.26572,1.27,0.01911,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2053.67,1.10199,1.05095,0.00977,0.75533,0.7458,0.79226,0.43001,1.1958,1.24244,0.01807,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2110.8,1.09136,1.0316,0.00959,0.76392,0.75124,0.79488,0.42989,1.21281,1.23233,0.01854,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2167.47,1.09688,1.03179,0.00974,0.72041,0.71751,0.73651,0.32018,1.32516,1.28711,0.02018,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2223.04,1.0948,1.02986,0.00969,0.75489,0.74823,0.78698,0.42278,1.22702,1.24119,0.01877,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2280.63,1.08797,1.01024,0.00959,0.74745,0.7477,0.7872,0.42188,1.22291,1.27484,0.01864,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2336.68,1.08674,1.02112,0.0096,0.75456,0.74495,0.79346,0.43058,1.21245,1.19027,0.01822,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2393,1.08134,1.01011,0.00956,0.76392,0.73486,0.78655,0.41977,1.2194,1.24559,0.01834,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2449.49,1.0785,1.00132,0.00949,0.75348,0.74399,0.77854,0.42004,1.23637,1.24589,0.01921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2506.37,1.07612,0.99353,0.00941,0.75113,0.74358,0.78716,0.4215,1.24491,1.21241,0.01922,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2562.1,1.07447,0.99713,0.00946,0.77155,0.73319,0.79129,0.42071,1.22932,1.23958,0.01898,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2619.22,1.06681,0.9855,0.00947,0.74879,0.73676,0.78006,0.41479,1.24366,1.25234,0.01903,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2674.87,1.06644,0.98624,0.00941,0.73704,0.75674,0.785,0.42149,1.21723,1.22406,0.01864,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2731.69,1.06163,0.97847,0.0093,0.74824,0.74371,0.78293,0.42017,1.2391,1.22454,0.01899,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2788.37,1.06418,0.9724,0.00931,0.73936,0.75215,0.78956,0.43236,1.22113,1.20392,0.01857,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2844.38,1.05886,0.96966,0.00935,0.74442,0.75436,0.78581,0.41888,1.22625,1.24149,0.01883,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2901.19,1.05565,0.95754,0.00916,0.74105,0.74278,0.77927,0.41748,1.23958,1.23096,0.01898,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2957.95,1.05408,0.95635,0.00922,0.76676,0.74833,0.78526,0.41739,1.24275,1.24396,0.01916,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3013.48,1.05286,0.95604,0.00919,0.75057,0.74536,0.77813,0.41342,1.26185,1.25515,0.01956,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3070.91,1.04061,0.94028,0.00902,0.75519,0.74944,0.78919,0.42383,1.25064,1.22676,0.01954,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3126.6,1.04725,0.94061,0.00897,0.76039,0.75087,0.79242,0.42942,1.24542,1.22784,0.01949,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3183.79,1.0428,0.95146,0.00907,0.76474,0.73153,0.78365,0.42031,1.23568,1.23659,0.01924,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3240.33,1.03927,0.94304,0.00916,0.76912,0.7364,0.7912,0.42586,1.23913,1.24653,0.01902,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3296.4,1.03764,0.93721,0.0091,0.75666,0.73945,0.78597,0.42325,1.23319,1.23313,0.01879,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3353.11,1.03955,0.92702,0.00911,0.75823,0.7271,0.77504,0.41239,1.25289,1.25816,0.01923,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,3408.79,1.03383,0.92798,0.00898,0.76019,0.7366,0.78162,0.41914,1.25666,1.23279,0.01964,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,3466.12,1.03075,0.93173,0.00906,0.77372,0.74865,0.79532,0.42881,1.24073,1.19262,0.01919,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,3523.34,1.03204,0.92601,0.00899,0.76685,0.73857,0.77953,0.41533,1.24274,1.28964,0.01876,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,3580.67,1.03019,0.90527,0.00908,0.74662,0.75484,0.78166,0.42725,1.23161,1.24995,0.01899,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,3639.44,1.02408,0.9062,0.00882,0.75919,0.73941,0.77982,0.41729,1.25211,1.28241,0.01915,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3698.76,1.02331,0.90089,0.00889,0.75452,0.74199,0.77783,0.41372,1.252,1.29419,0.01937,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3756.98,1.0151,0.87758,0.00886,0.73052,0.76483,0.77849,0.41701,1.25052,1.22909,0.01908,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3815.72,1.0155,0.8872,0.00869,0.74438,0.74833,0.77919,0.41522,1.25681,1.23347,0.0192,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3872.83,1.015,0.88706,0.0088,0.76761,0.73501,0.78206,0.41698,1.23895,1.25055,0.01874,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,3931.3,1.01271,0.89346,0.00877,0.75055,0.7529,0.78676,0.42427,1.23058,1.21746,0.01883,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,3988.64,1.00806,0.87336,0.00881,0.75552,0.74041,0.77907,0.4189,1.24952,1.23317,0.01885,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4046.15,1.00603,0.87623,0.00861,0.74958,0.75807,0.77972,0.41611,1.24667,1.22137,0.01896,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4104.03,1.0061,0.87132,0.0086,0.75713,0.74738,0.78161,0.42096,1.24499,1.24315,0.0192,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,4161.9,1.0032,0.86356,0.00865,0.76188,0.74659,0.77876,0.42183,1.2555,1.24551,0.01949,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,4218.59,1.00515,0.87924,0.00871,0.75567,0.74897,0.77993,0.41579,1.25278,1.25477,0.01929,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,4276.42,0.99988,0.873,0.00861,0.75918,0.75214,0.78211,0.42251,1.24813,1.23838,0.01939,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,4334.54,0.9867,0.86293,0.00858,0.75514,0.74659,0.7799,0.4194,1.25377,1.23545,0.01937,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,4392.21,0.98712,0.8673,0.00856,0.7661,0.74742,0.78226,0.41596,1.2658,1.26315,0.0195,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,4449.92,0.98655,0.85823,0.00858,0.75903,0.74825,0.77557,0.41282,1.2558,1.28693,0.01934,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,4508.57,0.98711,0.86039,0.00841,0.74638,0.75357,0.77382,0.41249,1.26031,1.2455,0.01924,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,4565.08,0.98106,0.85307,0.00833,0.74552,0.75398,0.77354,0.4113,1.2607,1.28763,0.01922,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,4623.02,0.98461,0.84935,0.00841,0.76242,0.74104,0.77752,0.41143,1.26977,1.25586,0.01943,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,4679.41,0.97686,0.83155,0.00836,0.74986,0.75087,0.77301,0.41103,1.26157,1.31247,0.01928,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
