,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,28.0,175.4428125,1.227164375,0.986804375,1.1275899999999999,0.7138018749999999,0.77383375,0.79346125,0.37947625,1.256598125,1.024531875,1.191154375,0.0017327,0.0017327,0.0017327
28,29.0,181.6516875,1.2381425,1.00102,1.12819875,0.705084375,0.724896875,0.7623031250000001,0.3809575,1.2279318750000001,1.075996875,1.204321875,0.0017228,0.0017228,0.0017228
29,30.0,187.85375,1.2465956249999999,0.997434375,1.12379,0.7296975000000001,0.7372987500000001,0.7916449999999999,0.3803175,1.2607775,1.068353125,1.19840375,0.0017129,0.0017129,0.0017129
30,31.0,194.04168750000002,1.235711875,0.990619375,1.1158062499999999,0.7404593749999999,0.754509375,0.813338125,0.40610625,1.185798125,1.0080974999999999,1.1751449999999999,0.001703,0.001703,0.001703
31,32.0,200.2079375,1.2163656250000001,0.980634375,1.120843125,0.6926874999999999,0.756851875,0.765085,0.35304,1.308028125,1.053405625,1.217363125,0.0016931,0.0016931,0.0016931
32,33.0,206.42343749999998,1.19721125,0.968446875,1.09833375,0.7403025,0.780099375,0.8212881249999999,0.420201875,1.1958531250000002,0.98788125,1.173956875,0.0016832,0.0016832,0.0016832
33,34.0,212.6795625,1.235579375,0.97531625,1.11861625,0.74202375,0.763498125,0.81101625,0.3935975,1.25323125,1.00302875,1.207849375,0.0016733,0.0016733,0.0016733
34,35.0,218.90718750000002,1.20561,0.9603175,1.11090125,0.72598625,0.783258125,0.8120993750000001,0.39291937499999996,1.26436375,0.99070125,1.209108125,0.0016634,0.0016634,0.0016634
35,36.0,225.12775,1.230426875,0.970215,1.1148425,0.7119825,0.7775006250000001,0.790116875,0.37780812500000005,1.25936,1.0182906250000001,1.19443375,0.0016535,0.0016535,0.0016535
36,37.0,231.3465625,1.224591875,0.975354375,1.1233675,0.741436875,0.755841875,0.80922,0.39482937500000004,1.22748875,1.0061775,1.191766875,0.0016436,0.0016436,0.0016436
37,38.0,237.47218750000002,1.2212,0.980714375,1.1244581249999999,0.72882,0.767105625,0.8078375,0.39003187500000003,1.26526375,1.0007825,1.2034825,0.0016337,0.0016337,0.0016337
38,39.0,243.55206249999998,1.211775625,0.95846875,1.1225343749999999,0.734915,0.725008125,0.7879174999999999,0.412720625,1.174994375,1.0187906249999998,1.1804062499999999,0.0016238,0.0016238,0.0016238
39,40.0,249.737375,1.1986400000000001,0.94873875,1.0927375000000001,0.70903,0.77429375,0.793324375,0.37448499999999996,1.288061875,1.0054518749999999,1.2100675,0.0016139,0.0016139,0.0016139
40,41.0,255.96887500000003,1.208805625,0.9519725,1.10667125,0.7311875,0.7671987499999999,0.808394375,0.39049625,1.2495068750000002,0.9910574999999999,1.195260625,0.001604,0.001604,0.001604
41,42.0,262.2190625,1.195119375,0.956750625,1.1046581249999998,0.754030625,0.7622275000000001,0.822631875,0.432465625,1.1523125,0.9728987499999999,1.1609475000000002,0.0015941,0.0015941,0.0015941
42,43.0,268.4565625,1.19156125,0.93874875,1.098754375,0.7131925,0.775711875,0.793808125,0.401145,1.19907875,0.999716875,1.170354375,0.0015842,0.0015842,0.0015842
43,44.0,274.57887500000004,1.17678875,0.93768375,1.10087125,0.752065625,0.765911875,0.8190143750000001,0.401131875,1.22103875,0.9792237500000001,1.177408125,0.0015743,0.0015743,0.0015743
44,45.0,280.75262499999997,1.1920506249999998,0.9392387499999999,1.10568125,0.72621,0.7643681250000001,0.8016293749999999,0.36671937499999996,1.2891650000000001,1.02731375,1.21752,0.0015644,0.0015644,0.0015644
45,46.0,286.90099999999995,1.19547125,0.9411775,1.1027456249999998,0.730649375,0.7806381250000001,0.810136875,0.4047875,1.2316699999999998,1.004225,1.1889625,0.0015545,0.0015545,0.0015545
46,47.0,292.9915,1.210091875,0.958445,1.11341375,0.721734375,0.775564375,0.799056875,0.376053125,1.28059375,0.9989587500000001,1.21165375,0.0015446,0.0015446,0.0015446
47,48.0,299.19281249999995,1.186679375,0.939655,1.1000718749999998,0.7280325,0.78289875,0.811765625,0.39693812500000003,1.2354425,0.986458125,1.194711875,0.0015347,0.0015347,0.0015347
48,49.0,305.308375,1.1776737499999999,0.9225981249999999,1.097014375,0.731166875,0.765386875,0.8040975,0.39557125,1.2460974999999999,0.9970693749999999,1.206765625,0.0015248,0.0015248,0.0015248
49,50.0,311.56175,1.186546875,0.931534375,1.09210875,0.734954375,0.7569524999999999,0.805670625,0.377064375,1.292565,0.98692625,1.216396875,0.0015149,0.0015149,0.0015149
50,51.0,317.70837500000005,1.158240625,0.9136525,1.08518,0.7542875,0.7758700000000001,0.8253056249999999,0.437020625,1.16456625,0.962085625,1.168641875,0.001505,0.001505,0.001505
51,52.0,323.8936875,1.181794375,0.9280431250000001,1.102488125,0.743989375,0.78416,0.825110625,0.432495625,1.170963125,0.9614400000000001,1.1561625,0.0014951,0.0014951,0.0014951
52,53.0,330.0996875,1.1771025000000002,0.922154375,1.095619375,0.739135625,0.7658125,0.8078225,0.40917187499999996,1.215605625,0.97652,1.192388125,0.0014852,0.0014852,0.0014852
53,54.0,336.28175,1.1657193750000001,0.907830625,1.090509375,0.737583125,0.77795,0.818056875,0.42204875,1.203271875,0.963963125,1.185521875,0.0014753,0.0014753,0.0014753
54,55.0,342.58425,1.17367625,0.9207299999999999,1.0896925,0.7342625,0.7748275,0.807599375,0.39898374999999997,1.2425562499999998,0.985725,1.2001525,0.0014654,0.0014654,0.0014654
55,56.0,348.6925625,1.167446875,0.911563125,1.08761,0.7267987499999999,0.750141875,0.7909668750000001,0.408479375,1.197355625,1.01312625,1.182181875,0.0014555,0.0014555,0.0014555
56,57.0,354.9205625,1.18471,0.919223125,1.105491875,0.7502318749999999,0.7703099999999999,0.81554625,0.41666625,1.18909375,0.94981625,1.17462125,0.0014456,0.0014456,0.0014456
57,58.0,361.14656249999996,1.170048125,0.90926375,1.0938500000000002,0.7338325,0.774675625,0.80896375,0.415928125,1.212761875,0.95942375,1.18592125,0.0014357,0.0014357,0.0014357
58,59.0,367.35425,1.16540875,0.9130125,1.0889075,0.70626125,0.759325625,0.770319375,0.35163,1.32292875,1.03784125,1.241901875,0.0014258,0.0014258,0.0014258
