,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,22.0,953.509375,1.09258375,1.0418756249999999,1.405281875,0.7442375,0.7413393749999999,0.7904249999999999,0.42521937499999996,1.18140375,1.19231,1.636935,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
22,23.0,996.0779375,1.0828081250000001,1.02383375,1.396896875,0.741523125,0.7227224999999999,0.7643525,0.37171062499999996,1.249106875,1.197851875,1.7309312499999998,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
23,24.0,1038.2975000000001,1.0805168749999998,1.0170612499999998,1.39205125,0.75931375,0.727475625,0.78839375,0.416856875,1.1896274999999998,1.1895193750000002,1.6743881250000001,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
24,25.0,1081.0006250000001,1.077251875,1.01461125,1.3876412500000002,0.750968125,0.7304893749999999,0.785534375,0.410004375,1.215471875,1.189994375,1.6836268749999999,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
25,26.0,1123.455,1.0660975,0.99564875,1.381163125,0.7533749999999999,0.728065,0.7867325000000001,0.404150625,1.2328493749999998,1.1751575,1.7017656250000002,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
26,27.0,1165.8025,1.0726312500000001,1.0021662500000001,1.386033125,0.7478912499999999,0.736451875,0.791265625,0.4202175,1.200289375,1.170935,1.674308125,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
27,28.0,1208.1925,1.0681425,0.99754125,1.38401,0.756623125,0.73941375,0.7941425,0.42179375,1.1893075,1.1524662499999998,1.6624668749999998,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
28,29.0,1250.234375,1.062436875,0.992579375,1.37676125,0.74965625,0.7404999999999999,0.7907625,0.42869,1.191799375,1.16704875,1.662495625,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
29,30.0,1292.84875,1.060471875,0.987358125,1.372835625,0.751181875,0.735135625,0.7889200000000001,0.421333125,1.201700625,1.1568093750000001,1.68929,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
30,31.0,1335.0818749999999,1.053974375,0.983794375,1.37030625,0.75278625,0.7346593749999999,0.786084375,0.41028937499999996,1.2221375,1.153040625,1.7078875,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
31,32.0,1377.8587499999999,1.053041875,0.9772825,1.36572375,0.75003625,0.736576875,0.786651875,0.411323125,1.2236449999999999,1.1661725,1.6965725000000003,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
32,33.0,1420.481875,1.0482725,0.973571875,1.35983875,0.758564375,0.735918125,0.7955868749999999,0.432391875,1.19797375,1.170358125,1.669178125,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
33,34.0,1463.02875,1.0437756249999999,0.9660137500000001,1.354454375,0.7591675,0.734256875,0.794125625,0.42503500000000005,1.21819875,1.1367293749999998,1.7024525000000001,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
34,35.0,1505.885625,1.04235125,0.960926875,1.353180625,0.767785625,0.74806,0.8045856250000001,0.43565750000000003,1.20299125,1.134105625,1.672151875,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
35,36.0,1548.0825,1.041265,0.9596075,1.3575,0.7608075000000001,0.7395743750000001,0.7952975,0.42366875000000004,1.210605,1.1461275,1.6847056249999999,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
36,37.0,1590.99875,1.0345231250000002,0.9436725,1.34492125,0.760180625,0.74438875,0.7961518750000001,0.42763625,1.197453125,1.12992875,1.6619275,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
37,38.0,1633.20125,1.03760875,0.955086875,1.35558,0.748323125,0.735465625,0.78569,0.40775812499999997,1.2215643749999998,1.1404925000000001,1.7151174999999999,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
38,39.0,1676.24,1.032253125,0.943439375,1.345856875,0.7507550000000001,0.7456093749999999,0.79339125,0.42533750000000003,1.20030875,1.1238687500000002,1.670229375,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
39,40.0,1719.295,1.0244825,0.932630625,1.33945875,0.740019375,0.742619375,0.7870587499999999,0.421485,1.213806875,1.1544824999999999,1.68312,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
40,41.0,1762.790625,1.026429375,0.9375175,1.341129375,0.755748125,0.7490475,0.7942612499999999,0.42805187499999997,1.199514375,1.1114950000000001,1.67722375,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
41,42.0,1805.986875,1.022393125,0.9264812499999999,1.336255,0.764189375,0.73897,0.799024375,0.429074375,1.2000875,1.132571875,1.664225,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
42,43.0,1849.109375,1.019596875,0.924216875,1.334104375,0.7610168749999999,0.7348462499999999,0.7948556250000001,0.421461875,1.2104325,1.130149375,1.684000625,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
43,44.0,1892.021875,1.013896875,0.917096875,1.3238249999999998,0.758640625,0.7437731249999999,0.7966025,0.42952812500000004,1.204999375,1.116555,1.668774375,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
44,45.0,1934.5631250000001,1.0131706249999999,0.91762,1.3284125,0.75019625,0.73515,0.7863556249999999,0.41562187500000003,1.21605875,1.1256543749999999,1.684673125,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
45,46.0,1977.7225,1.0085075,0.910221875,1.3276325,0.7500368749999999,0.74777125,0.793655,0.42553937500000005,1.2045424999999998,1.1088662500000002,1.676711875,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
46,47.0,2020.008125,1.00672375,0.90909875,1.323615,0.7602325000000001,0.74371375,0.795543125,0.42975875,1.204575,1.0990937500000002,1.670248125,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
47,48.0,2063.2200000000003,1.001681875,0.905449375,1.318453125,0.7463206250000001,0.7468525,0.7896299999999999,0.42111875,1.21821,1.12027125,1.69976625,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
48,49.0,2105.86625,1.004291875,0.8997312500000001,1.316836875,0.75018875,0.7461893749999999,0.7943675,0.42501999999999995,1.21088,1.116955625,1.6817893750000001,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
49,50.0,2149.0168750000003,1.000545,0.898374375,1.314729375,0.7535274999999999,0.74726125,0.7940562499999999,0.42606750000000004,1.2211937499999999,1.091069375,1.6930637499999999,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
50,51.0,2192.09375,0.996141875,0.884618125,1.306535625,0.74753,0.74853625,0.7910993749999999,0.4230225,1.2235737500000001,1.12048375,1.7004000000000001,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
51,52.0,2234.529375,0.993824375,0.8936437500000001,1.3097206250000002,0.7568250000000001,0.74195625,0.788915,0.41830999999999996,1.221678125,1.1152125,1.7073162499999999,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
52,53.0,2277.73,0.9976674999999999,0.8884675,1.310689375,0.758506875,0.7459374999999999,0.796084375,0.4247775,1.225316875,1.10464625,1.709278125,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
53,54.0,2320.280625,0.984823125,0.8765406250000001,1.297819375,0.76356625,0.75219,0.802238125,0.431809375,1.220704375,1.0921518749999999,1.70282375,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
54,55.0,2363.8599999999997,0.985793125,0.8751450000000001,1.2945906249999999,0.75758375,0.7457475,0.796845625,0.43063375000000004,1.21637125,1.09232,1.696928125,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
