epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1772.77,1.11015,1.07947,0.0099,0.75616,0.74992,0.79421,0.42332,1.23293,1.20079,0.01889,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1829.64,1.11152,1.07197,0.00998,0.75766,0.74713,0.78716,0.42504,1.23042,1.23643,0.01904,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1886.36,1.10884,1.05493,0.00981,0.75185,0.74009,0.77733,0.40507,1.23679,1.22399,0.01905,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1942.38,1.09889,1.04853,0.00969,0.7588,0.73121,0.78167,0.40567,1.27281,1.28624,0.01963,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1999.18,1.10574,1.04258,0.0098,0.7477,0.7604,0.79591,0.42119,1.2516,1.19585,0.01943,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2055.02,1.10552,1.04429,0.0098,0.73076,0.74722,0.77848,0.41101,1.26037,1.22793,0.01917,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2112.01,1.09296,1.02407,0.00961,0.73642,0.72946,0.75601,0.36915,1.26678,1.27883,0.01922,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2168.59,1.0962,1.03665,0.00974,0.74973,0.74347,0.77928,0.41432,1.23156,1.27521,0.01874,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2224.09,1.09165,1.02105,0.00965,0.7381,0.74374,0.77585,0.4036,1.2579,1.27684,0.01918,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2281.26,1.08783,1.018,0.00959,0.75103,0.73619,0.77337,0.39363,1.26093,1.26002,0.01934,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2338.03,1.08462,1.02292,0.00956,0.74864,0.74929,0.78866,0.42638,1.23662,1.16619,0.01895,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2394.03,1.07912,1.00285,0.00952,0.74912,0.74672,0.78904,0.42141,1.24879,1.239,0.01902,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
